Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	tree_length
0	-4366.007	-4649.984	283.977	0.7059406	0.9967023	13.291
6	-4374.243	-4656.605	282.3624	0.6542511	1.009107	14.14926
12	-4360.484	-4642.477	281.993	0.7487251	0.9257349	14.33601
18	-4364.087	-4646.185	282.0975	0.6438819	0.9260023	14.33601
24	-4364.168	-4647.957	283.7894	0.8759714	1.142441	13.22805
30	-4356.288	-4639.584	283.2965	0.7553154	1.019088	13.60717
36	-4354.869	-4639.401	284.532	0.6957294	0.944792	13.03543
42	-4361.068	-4645.636	284.568	0.7591077	1.168034	12.87208
48	-4367.868	-4650.827	282.9588	0.7881245	1.00664	13.77181
54	-4378.358	-4662.802	284.4432	0.688146	1.103084	13.00458
60	-4376.728	-4656.153	279.4248	0.7235515	1.00664	15.6345
66	-4374.672	-4654.833	280.1609	0.5969033	0.8413887	15.41039
72	-4369.019	-4653.021	284.0016	0.6942915	1.04375	13.26018
78	-4381.051	-4664.858	283.8068	0.8234197	1.067805	13.28229
84	-4385.086	-4667.459	282.3738	0.6631029	1.014818	14.13582
90	-4372.16	-4655.607	283.4464	0.647891	0.8223847	13.69396
96	-4370.59	-4654.038	283.4479	0.7239571	0.9701737	13.57035
102	-4359.65	-4643.417	283.7669	0.6458921	0.9415302	13.46063
108	-4363.13	-4649.174	286.0441	0.6458921	1.087134	12.20082
114	-4358.897	-4643.133	284.2368	0.6977279	1.320873	13.00882
120	-4355.764	-4640.06	284.296	0.6962979	1.158546	13.05058
126	-4358.047	-4644.313	286.2666	0.6605313	1.099659	12.07102
132	-4363.627	-4648.852	285.2251	0.7027811	1.053094	12.6147
138	-4364.392	-4649.152	284.7601	0.7442314	0.9706311	12.87768
144	-4368.45	-4654.11	285.6594	0.7762774	1.08855	12.33267
150	-4373.907	-4657.562	283.6549	0.6932888	1.081521	13.42204
156	-4368.034	-4649.817	281.7834	0.7391764	1.049228	14.38488
162	-4373.581	-4654.994	281.4127	0.6382724	1.201519	14.55692
168	-4371.819	-4653.598	281.7785	0.6409516	1.074162	14.42596
174	-4360.934	-4643.735	282.8002	0.7271143	1.09321	13.8424
180	-4368.699	-4651.635	282.9368	0.6375084	0.9419189	13.89561
186	-4366.796	-4649.551	282.7546	0.6485201	1.116525	13.89561
192	-4367.603	-4648.544	280.9408	0.6994895	0.9873898	14.87324
198	-4354.967	-4638.427	283.4595	0.649189	1.125687	13.52511
204	-4356.847	-4637.439	280.5918	0.7518053	0.9302665	15.05721
210	-4363.864	-4644.592	280.7275	0.5838063	0.9612347	15.05721
216	-4367.395	-4650.99	283.5957	0.6575785	0.9612347	13.53288
222	-4377.616	-4661.557	283.9408	0.7281832	1.036803	13.27768
228	-4361.456	-4643.339	281.8827	0.6407856	1.036803	14.39065
234	-4356.729	-4640.479	283.7503	0.6621849	1.158767	13.35182
240	-4384.679	-4668.137	283.4579	0.6619633	0.8447901	13.66742
246	-4389.034	-4674.44	285.4059	0.7591511	0.8490362	12.60182
252	-4365.861	-4648.947	283.086	0.5309652	0.9605748	13.86343
258	-4358.43	-4643.431	285.0011	0.6988466	0.9913425	12.76497
264	-4379.546	-4662.009	282.4632	0.7445365	1.086246	14.01154
270	-4357.735	-4640.316	282.5809	0.6777714	1.036664	14.00971
276	-4356.788	-4639.893	283.1054	0.6554526	1.197594	13.67233
282	-4353.169	-4638.94	285.7714	0.6733986	1.080609	12.33182
288	-4339.509	-4621.61	282.1008	0.7060962	1.069696	14.22744
294	-4342.303	-4627.513	285.2098	0.720015	0.9026786	12.69343
300	-4349.355	-4634.405	285.0499	0.720015	0.9934151	12.72747
306	-4355.567	-4640.182	284.6148	0.6477294	1.055236	12.95985
312	-4363.733	-4646.255	282.522	0.6445509	1.074469	14.03868
318	-4373.774	-4659.624	285.85	0.6136438	1.120406	12.30272
324	-4375.073	-4655.105	280.0318	0.6634835	1.013919	15.3482
330	-4364.482	-4646.496	282.0145	0.753878	1.045394	14.25948
336	-4364.799	-4645.528	280.7291	0.6927626	1.086968	14.93608
342	-4357.914	-4639.59	281.6763	0.5815637	0.9769591	14.55905
348	-4364.592	-4645.645	281.0532	0.634447	0.9284286	14.88024
354	-4358.968	-4638.393	279.4252	0.5959468	0.9477479	15.73114
360	-4358.083	-4641.147	283.0645	0.5970961	0.8988658	13.8741
366	-4361.633	-4644.553	282.9203	0.7144098	0.9239083	13.8741
372	-4378.609	-4664.366	285.757	0.6362197	0.9926862	12.4033
378	-4371.97	-4653.599	281.6298	0.7522731	0.9506606	14.50874
384	-4369.623	-4654.435	284.8118	0.6861696	0.8360905	12.95658
390	-4378.026	-4664.754	286.7275	0.7295829	0.9547939	11.86868
396	-4372.437	-4656.124	283.6873	0.7558162	1.050813	13.38794
402	-4378.005	-4662.486	284.4813	0.8384391	1.09226	12.91187
408	-4375.225	-4656.49	281.2649	0.7577786	1.09226	14.62259
414	-4371.548	-4658.037	286.489	0.7198268	1.04408	11.95161
420	-4373.865	-4656.89	283.0251	0.6362824	0.9115798	13.86711
426	-4373.737	-4656.74	283.0031	0.6189302	0.9487907	13.86711
432	-4378.758	-4663.485	284.727	0.7665283	1.169058	12.78502
438	-4365.449	-4650.556	285.1071	0.7045359	1.002555	12.70103
444	-4369.605	-4651.505	281.8999	0.6814275	1.048639	14.35473
450	-4377.541	-4659.483	281.9413	0.7194577	1.05563	14.31012
456	-4372.699	-4656.196	283.497	0.7807054	1.028982	13.48485
462	-4363.365	-4646.862	283.497	0.7807054	1.028982	13.48485
468	-4362.546	-4645.178	282.6327	0.7360107	1.045507	13.94821
474	-4364.485	-4647.577	283.0917	0.6491813	1.204782	13.67946
480	-4363.517	-4647.614	284.0977	0.5900524	0.845141	13.37234
486	-4350.558	-4633.744	283.1862	0.6951568	0.9997157	13.70562
492	-4358.453	-4643.91	285.4566	0.7292078	1.040804	12.48658
498	-4365.253	-4649.393	284.1404	0.7785249	1.000525	13.16635
504	-4359.428	-4639.508	280.0804	0.6670875	1.221945	15.22214
510	-4365.136	-4648.911	283.7749	0.6672718	1.065742	13.38102
516	-4360.912	-4643.346	282.4343	0.5832727	1.018937	14.1437
522	-4356.211	-4637.295	281.0842	0.7296576	0.949577	14.80345
528	-4362.13	-4647.184	285.0543	0.6480023	1.234376	12.64674
534	-4353.279	-4636.116	282.8366	0.6547649	0.9447966	13.93703
540	-4345.74	-4631.39	285.6503	0.7516777	1.000045	12.39492
546	-4341.517	-4625.759	284.2412	0.6356618	0.9668244	13.20595
552	-4357.099	-4640.748	283.6494	0.6773802	1.088611	13.42969
558	-4361.402	-4645.094	283.6918	0.7374525	0.9834798	13.42969
564	-4371.106	-4655.721	284.6145	0.7963324	1.163759	12.83047
570	-4364.438	-4651.268	286.8298	0.7882426	1.052315	11.73381
576	-4356.045	-4639.366	283.3217	0.7116442	1.1814	13.53825
582	-4380.978	-4664.288	283.3099	0.8076279	1.180076	13.49517
588	-4382.956	-4665.566	282.6105	0.8314161	1.00887	13.92887
594	-4356.378	-4639.797	283.4187	0.7150327	0.9539361	13.59885
600	-4353.004	-4636.218	283.2138	0.7034609	1.180756	13.59885
606	-4360.996	-4642.665	281.6696	0.7379993	1.257444	14.34743
612	-4377.11	-4660.788	283.6773	0.8329415	0.9924762	13.38291
618	-4370.976	-4656.478	285.5019	0.7700262	0.9924762	12.4666
624	-4352.871	-4633.908	281.037	0.8643068	0.9641415	14.7504
630	-4359.461	-4644.209	284.7478	0.6905047	0.9767581	12.9088
636	-4365.015	-4648.52	283.5052	0.6225843	0.8681625	13.64968
642	-4355.93	-4640.162	284.2317	0.6297881	0.9861457	13.20371
648	-4356.934	-4639.645	282.7116	0.6911615	0.8445392	14.03951
654	-4366.574	-4650.989	284.4147	0.6911615	1.094655	13.02194
660	-4367.671	-4652.184	284.5127	0.784157	0.9041	13.02194
666	-4369.372	-4650.03	280.6582	0.7666576	0.9916189	14.98249
672	-4371.473	-4654.961	283.488	0.7625973	1.083952	13.47156
678	-4362.923	-4644.179	281.2556	0.6600784	1.029087	14.7093
684	-4355.897	-4640.422	284.5251	0.7005277	1.114727	12.94997
690	-4363.766	-4644.373	280.6077	0.7234441	1.075989	14.98836
696	-4375.468	-4658.995	283.5264	0.7627571	0.978684	13.50494
702	-4367.413	-4650.288	282.8746	0.6922863	0.9259017	13.90821
708	-4373.454	-4658.914	285.4597	0.6917569	1.030923	12.5095
714	-4364.464	-4644.397	279.9328	0.7230001	1.051983	15.34941
720	-4365.009	-4646.489	281.4796	0.7230001	1.131437	14.5107
726	-4366.442	-4644.813	278.3712	0.697747	1.092169	16.14914
732	-4361.073	-4641.474	280.4006	0.6149626	0.9607867	15.21037
738	-4353.686	-4635.579	281.8938	0.649399	1.045782	14.37595
744	-4363.436	-4646.274	282.8382	0.7418906	1.119002	13.80262
750	-4363.056	-4644.327	281.2715	0.7127601	1.153673	14.61336
756	-4364.37	-4645.624	281.2546	0.8069212	1.041312	14.62763
762	-4370.126	-4654.381	284.2551	0.6792375	0.9983776	13.15948
768	-4363.124	-4645.584	282.4602	0.6792375	1.007475	14.08642
774	-4368.684	-4649.584	280.9005	0.6204413	1.155085	14.85251
780	-4358.622	-4643.68	285.0587	0.7049396	0.9768051	12.73952
786	-4355.285	-4638.53	283.245	0.7049396	1.23365	13.55803
792	-4360.714	-4645.052	284.3381	0.735931	1.167438	13.00398
798	-4360.506	-4644.757	284.2511	0.735931	1.062366	13.09956
804	-4361.658	-4646.153	284.4955	0.6334726	0.9214271	13.09956
810	-4368.41	-4651.589	283.1791	0.6888428	0.9715291	13.72738
816	-4364.068	-4647.035	282.9661	0.7221734	1.159658	13.72738
822	-4362.127	-4644.975	282.8477	0.6696278	1.088637	13.84981
828	-4361.131	-4645.824	284.6929	0.7106579	1.127978	12.85107
834	-4369.11	-4655.201	286.0903	0.8289764	1.041793	12.10383
840	-4372.622	-4651.862	279.2395	0.6266621	1.025553	15.7706
846	-4360.469	-4643.307	282.8375	0.6662236	1.073193	13.86445
852	-4366.463	-4650.658	284.1945	0.7640156	1.046359	13.12237
858	-4364.492	-4648.37	283.8775	0.5927647	1.046359	13.3761
864	-4352.123	-4634.503	282.3804	0.6531061	0.9264791	14.18438
